pygame 2.5.2 (SDL 2.28.3, Python 3.11.3)
Hello from the pygame community. https://www.pygame.org/contribute.html

-------TRAINING BEGIN-------
NOTES: reward function for eating apple: reward function for staying alive: reward function for dying: Game 1 Score 0 Record: 0
Game 79 Score 0 Record: 1
Game 80 Score 1 Record: 1
Game 81 Score 0 Record: 1
Game 82 Score 0 Record: 1
Game 83 Score 0 Record: 1
Game 84 Score 0 Record: 1
Game 85 Score 0 Record: 1
Game 86 Score 0 Record: 1
Game 87 Score 0 Record: 1
Game 88 Score 0 Record: 1
Game 89 Score 0 Record: 1
Game 90 Score 0 Record: 1
Game 91 Score 0 Record: 1
Game 92 Score 0 Record: 1
Game 93 Score 0 Record: 1
Game 94 Score 0 Record: 1
Game 95 Score 0 Record: 1
Game 96 Score 0 Record: 1
Game 97 Score 0 Record: 1
Game 98 Score 0 Record: 1
Game 99 Score 0 Record: 1
Game 100 Score 0 Record: 1
Game 101 Score 0 Record: 1
NOTES: no_ui
EAT APPLE: 10
STAY ALIVE: 10
DIE: -10
TOTAL GAMES: 101
HIGH SCORE:  1
AVERAGE SCORE 0.0891089108910891
TOTAL TRAINING TIME: 67.85088896751404
-------TRAINING COMPLETE-------

pygame 2.5.2 (SDL 2.28.3, Python 3.11.3)
Hello from the pygame community. https://www.pygame.org/contribute.html

-------TRAINING BEGIN-------
NOTES: reward function for eating apple: reward function for staying alive: reward function for dying: Game 1 Score 0 Record: 0
Game 2 Score 0 Record: 0
Game 3 Score 1 Record: 1
Game 4 Score 0 Record: 1
Game 5 Score 1 Record: 1
Game 6 Score 0 Record: 1
Game 7 Score 0 Record: 1
Game 8 Score 0 Record: 1
Game 9 Score 1 Record: 1
Game 10 Score 0 Record: 1
Game 11 Score 1 Record: 1
Game 12 Score 1 Record: 1
Game 13 Score 0 Record: 1
Game 14 Score 0 Record: 1
Game 15 Score 1 Record: 1
Game 16 Score 0 Record: 1
Game 17 Score 0 Record: 1
Game 18 Score 0 Record: 1
Game 19 Score 0 Record: 1
Game 20 Score 0 Record: 1
Game 21 Score 0 Record: 1
Game 22 Score 0 Record: 1
Game 23 Score 0 Record: 1
Game 24 Score 1 Record: 1
Game 25 Score 2 Record: 2
Game 26 Score 1 Record: 2
Game 27 Score 0 Record: 2
Game 28 Score 0 Record: 2
Game 29 Score 2 Record: 2
Game 30 Score 1 Record: 2
Game 31 Score 0 Record: 2
Game 32 Score 0 Record: 2
Game 33 Score 0 Record: 2
Game 34 Score 1 Record: 2
Game 35 Score 0 Record: 2
Game 36 Score 0 Record: 2
Game 37 Score 1 Record: 2
Game 38 Score 1 Record: 2
Game 39 Score 0 Record: 2
Game 40 Score 0 Record: 2
Game 41 Score 0 Record: 2
Game 42 Score 1 Record: 2
Game 43 Score 1 Record: 2
Game 44 Score 0 Record: 2
Game 45 Score 1 Record: 2
Game 46 Score 1 Record: 2
Game 47 Score 1 Record: 2
Game 48 Score 0 Record: 2
Game 49 Score 3 Record: 3
Game 50 Score 1 Record: 3
Game 51 Score 0 Record: 3
Game 52 Score 0 Record: 3
Game 53 Score 0 Record: 3
Game 54 Score 2 Record: 3
Game 55 Score 2 Record: 3
Game 56 Score 0 Record: 3
Game 57 Score 0 Record: 3
Game 58 Score 0 Record: 3
Game 59 Score 0 Record: 3
Game 60 Score 0 Record: 3
Game 61 Score 1 Record: 3
Game 62 Score 1 Record: 3
Game 63 Score 2 Record: 3
Game 64 Score 3 Record: 3
Game 65 Score 1 Record: 3
Game 66 Score 0 Record: 3
Game 67 Score 1 Record: 3
Game 68 Score 0 Record: 3
Game 69 Score 0 Record: 3
Game 70 Score 1 Record: 3
Game 71 Score 1 Record: 3
Game 72 Score 1 Record: 3
Game 73 Score 0 Record: 3
Game 74 Score 3 Record: 3
Game 75 Score 2 Record: 3
Game 76 Score 1 Record: 3
Game 77 Score 1 Record: 3
Game 78 Score 0 Record: 3
Game 79 Score 0 Record: 3
Game 80 Score 1 Record: 3
Game 81 Score 8 Record: 8
Game 82 Score 10 Record: 10
Game 83 Score 0 Record: 10
Game 84 Score 1 Record: 10
Game 85 Score 7 Record: 10
Game 86 Score 2 Record: 10
Game 87 Score 10 Record: 10
Game 88 Score 0 Record: 10
Game 89 Score 13 Record: 13
Game 90 Score 0 Record: 13
Game 91 Score 0 Record: 13
Game 92 Score 5 Record: 13
Game 93 Score 6 Record: 13
Game 94 Score 13 Record: 13
Game 95 Score 13 Record: 13
Game 96 Score 5 Record: 13
Game 97 Score 0 Record: 13
Game 98 Score 0 Record: 13
Game 99 Score 0 Record: 13
Game 100 Score 26 Record: 26
Game 101 Score 8 Record: 26
NOTES: speed=100k
EAT APPLE: 10
STAY ALIVE: 0
DIE: -10
TOTAL GAMES: 101
HIGH SCORE:  26
AVERAGE SCORE 1.7425742574257426
TOTAL TRAINING TIME: 78.37346482276917
-------TRAINING COMPLETE-------

pygame 2.5.2 (SDL 2.28.3, Python 3.11.3)
Hello from the pygame community. https://www.pygame.org/contribute.html

-------TRAINING BEGIN-------
NOTES: reward function for eating apple: reward function for staying alive: reward function for dying: Game 1 Score 0 Record: 0
Game 2 Score 0 Record: 0
Game 3 Score 0 Record: 0
Game 4 Score 0 Record: 0
Game 5 Score 0 Record: 0
Game 6 Score 1 Record: 1
Game 7 Score 0 Record: 1
Game 8 Score 0 Record: 1
Game 9 Score 1 Record: 1
Game 10 Score 1 Record: 1
Game 11 Score 0 Record: 1
Game 12 Score 0 Record: 1
Game 13 Score 1 Record: 1
Game 14 Score 0 Record: 1
Game 15 Score 0 Record: 1
Game 16 Score 0 Record: 1
Game 17 Score 0 Record: 1
Game 18 Score 0 Record: 1
Game 19 Score 1 Record: 1
Game 20 Score 1 Record: 1
Game 21 Score 0 Record: 1
Game 22 Score 0 Record: 1
Game 23 Score 0 Record: 1
Game 24 Score 0 Record: 1
Game 25 Score 0 Record: 1
Game 26 Score 1 Record: 1
Game 27 Score 1 Record: 1
Game 28 Score 0 Record: 1
Game 29 Score 1 Record: 1
Game 30 Score 0 Record: 1
Game 31 Score 0 Record: 1
Game 32 Score 0 Record: 1
Game 33 Score 1 Record: 1
Game 34 Score 0 Record: 1
Game 35 Score 0 Record: 1
Game 36 Score 1 Record: 1
Game 37 Score 0 Record: 1
Game 38 Score 0 Record: 1
Game 39 Score 0 Record: 1
Game 40 Score 0 Record: 1
Game 41 Score 2 Record: 2
Game 42 Score 0 Record: 2
Game 43 Score 1 Record: 2
Game 44 Score 2 Record: 2
Game 45 Score 1 Record: 2
Game 46 Score 0 Record: 2
Game 47 Score 1 Record: 2
Game 48 Score 0 Record: 2
Game 49 Score 2 Record: 2
Game 50 Score 1 Record: 2
Game 51 Score 1 Record: 2
Game 52 Score 2 Record: 2
Game 53 Score 0 Record: 2
Game 54 Score 1 Record: 2
Game 55 Score 0 Record: 2
Game 56 Score 0 Record: 2
Game 57 Score 2 Record: 2
Game 58 Score 0 Record: 2
Game 59 Score 0 Record: 2
Game 60 Score 2 Record: 2
Game 61 Score 1 Record: 2
Game 62 Score 4 Record: 4
Game 63 Score 2 Record: 4
Game 64 Score 1 Record: 4
Game 65 Score 3 Record: 4
Game 66 Score 1 Record: 4
Game 67 Score 5 Record: 5
Game 68 Score 0 Record: 5
Game 69 Score 0 Record: 5
Game 70 Score 0 Record: 5
Game 71 Score 3 Record: 5
Game 72 Score 3 Record: 5
Game 73 Score 3 Record: 5
Game 74 Score 1 Record: 5
Game 75 Score 0 Record: 5
Game 76 Score 1 Record: 5
Game 77 Score 9 Record: 9
Game 78 Score 6 Record: 9
Game 79 Score 10 Record: 10
Game 80 Score 8 Record: 10
Game 81 Score 0 Record: 10
Game 82 Score 0 Record: 10
Game 83 Score 7 Record: 10
Game 84 Score 0 Record: 10
Game 85 Score 14 Record: 14
Game 86 Score 21 Record: 21
Game 87 Score 25 Record: 25
Game 88 Score 16 Record: 25
Game 89 Score 12 Record: 25
Game 90 Score 38 Record: 38
Game 91 Score 19 Record: 38
Game 92 Score 17 Record: 38
Game 93 Score 23 Record: 38
Game 94 Score 43 Record: 43
Game 95 Score 26 Record: 43
Game 96 Score 48 Record: 48
Game 97 Score 13 Record: 48
Game 98 Score 34 Record: 48
Game 99 Score 26 Record: 48
Game 100 Score 31 Record: 48
Game 101 Score 19 Record: 48
NOTES: speed=100k(real)
EAT APPLE: 10
STAY ALIVE: 0
DIE: -10
TOTAL GAMES: 101
HIGH SCORE:  48
AVERAGE SCORE 5.1683168316831685
TOTAL TRAINING TIME: 67.39811086654663
-------TRAINING COMPLETE-------

